"Metadata","Phylum","Avg_Correlation","Min_P_value"
"Survival rate","Deinococcota",-0.559016994374947,0.0302818727265981
"Survival rate","Dependentiae",-0.559016994374947,0.0302818727265981
"Survival rate","Desulfobacterota",-0.559016994374947,0.0302818727265981
"Survival rate","Elusimicrobiota",-0.559016994374947,0.0302818727265981
"Survival rate","Entotheonellaeota",-0.559016994374947,0.0302818727265981
"Survival rate","Euryarchaeota",-0.559016994374947,0.0302818727265981
"Survival rate","Firmicutes",-0.561464342679171,0.0041314815775304
"Survival rate","Gemmatimonadota",-0.559016994374947,0.0302818727265981
"Survival rate","Halanaerobiaeota",-0.559016994374947,0.0302818727265981
"Survival rate","Halobacterota",-0.559016994374947,0.0302818727265981
"Survival rate","Latescibacterota",-0.559016994374947,0.0302818727265981
"Survival rate","MBNT15",-0.559016994374947,0.0302818727265981
"Survival rate","Methylomirabilota",-0.559016994374947,0.0302818727265981
"Survival rate","Myxococcota",-0.559016994374947,0.0302818727265981
"Survival rate","Nanoarchaeota",-0.559016994374947,0.0302818727265981
"Survival rate","Patescibacteria",-0.561875911666852,0.0041314815775304
"Survival rate","Planctomycetota",-0.558920086192424,0.0302818727265981
"Survival rate","Proteobacteria",-0.561049131467075,0.0030688151705438
"Survival rate","Spirochaetota",-0.559016994374947,0.0302818727265981
"Survival rate","Synergistota",-0.559016994374947,0.0302818727265981
"Survival rate","Verrucomicrobiota",-0.559016994374947,0.0302818727265981
"Survival rate","WPS",-0.559016994374947,0.0302818727265981
"Percentage weight gain","Actinobacteriota",0.550333818750941,0.0215242612422428
"Percentage weight gain","Bacteroidota",0.0317500317500476,0.0198959726987491
"Percentage weight gain","Bdellovibrionota",0.586619634238975,0.0215242612422428
"Percentage weight gain","Chloroflexi",0.171028349786097,0.0215242612422428
"Percentage weight gain","Cloacimonadota",-0.514048133096009,0.0499631173441153
"Percentage weight gain","Cyanobacteria",-0.592667259334222,0.0198959726987491
"Percentage weight gain","Desulfobacterota",-0.589643446786599,0.0198959726987491
"Percentage weight gain","Elusimicrobiota",-0.592667259334222,0.0198959726987491
"Percentage weight gain","Firmicutes",-0.0905535764713011,0.0024731521138821
"Percentage weight gain","Patescibacteria",-0.54327832105637,0.0215242612422428
"Percentage weight gain","Planctomycetota",-0.586619634238975,0.0215242612422428
"Percentage weight gain","Proteobacteria",0.246768422258667,0.0215242612422428
"Daily weight gain","Acidobacteriota",-0.557891462786871,0.030688419683973
"Daily weight gain","Actinobacteriota",0.586619634238975,0.0215242612422428
"Daily weight gain","Bacteroidota",0.0317500317500476,0.0198959726987491
"Daily weight gain","Bdellovibrionota",0.586619634238975,0.0215242612422428
"Daily weight gain","Chloroflexi",0.148863759263981,0.0215242612422428
"Daily weight gain","Cloacimonadota",-0.514048133096009,0.0499631173441153
"Daily weight gain","Cyanobacteria",-0.592667259334222,0.0198959726987491
"Daily weight gain","Desulfobacterota",-0.589643446786599,0.0198959726987491
"Daily weight gain","Elusimicrobiota",-0.592667259334222,0.0198959726987491
"Daily weight gain","Firmicutes",-0.00896079918210361,0.000851641913337087
"Daily weight gain","Patescibacteria",-0.54327832105637,0.0215242612422428
"Daily weight gain","Planctomycetota",-0.586619634238975,0.0215242612422428
"Daily weight gain","Proteobacteria",0.194531940563784,0.0215242612422428
